gap_bin,dip_bin,trades,tp_cnt,sl_cnt,ambig,none_after,winrate,EV
0~3,0~1,3,3,0,0,0,1.0,0.05000000000000001
0~3,3~4,1,1,0,0,0,1.0,0.05
10~15,1~2,1,1,0,0,0,1.0,0.05
10~15,6~7,1,1,0,0,0,1.0,0.05
20~25,0~1,1,1,0,0,0,1.0,0.05
25+,0~1,12,9,2,1,0,0.8181818181818182,0.038181818181818185
25+,1~2,9,8,1,0,0,0.8888888888888888,0.042777777777777776
25+,2~3,4,3,1,0,0,0.75,0.03375
25+,3~4,2,2,0,0,0,1.0,0.05
25+,4~5,3,3,0,0,0,1.0,0.05000000000000001
25+,5~6,7,7,0,0,0,1.0,0.05
25+,6~7,4,4,0,0,0,1.0,0.05
25+,7~8,2,2,0,0,0,1.0,0.05
3~7,1~2,1,0,0,1,0,0.0,0.0
7~10,0~1,2,1,1,0,0,0.5,0.0175
<0,0~1,69,49,19,1,0,0.7205882352941176,0.031838235294117646
<0,1~2,45,35,10,0,0,0.7777777777777778,0.035555555555555556
<0,2~3,48,39,9,0,0,0.8125,0.037812500000000006
<0,3~4,42,34,6,2,0,0.85,0.04025
<0,4~5,32,28,4,0,0,0.875,0.041875
<0,5~6,9,9,0,0,0,1.0,0.05
<0,6~7,15,14,1,0,0,0.9333333333333333,0.04566666666666667
<0,7~8,14,14,0,0,0,1.0,0.05
