TP_pct,SL_pct,trades,TP,SL,AMBIG,NONE,winrate,EV_fixed,EV_close
0.04,0.008,195,103,66,26,0,0.6094674556213018,0.01842051282051282,0.01842051282051282
0.04,0.01,195,108,63,24,0,0.631578947368421,0.018923076923076924,0.018923076923076924
0.04,0.012,195,111,61,23,0,0.6453488372093024,0.019015384615384618,0.019015384615384618
0.04,0.015,195,115,60,20,0,0.6571428571428571,0.01897435897435898,0.01897435897435898
0.04,0.02,195,117,60,18,0,0.6610169491525424,0.017846153846153845,0.017846153846153845
0.05,0.008,195,97,82,16,0,0.5418994413407822,0.02150769230769231,0.02150769230769231
0.05,0.01,195,101,79,15,0,0.5611111111111111,0.02184615384615385,0.02184615384615385
0.05,0.012,195,103,77,15,0,0.5722222222222222,0.02167179487179487,0.02167179487179487
0.05,0.015,195,108,73,14,0,0.5966850828729282,0.02207692307692308,0.02207692307692308
0.05,0.02,195,110,73,12,0,0.6010928961748634,0.020717948717948718,0.020717948717948718
0.06,0.008,195,86,101,8,0,0.45989304812834225,0.02231794871794872,0.02231794871794872
0.06,0.01,195,90,98,7,0,0.4787234042553192,0.022666666666666665,0.022666666666666665
0.06,0.012,195,92,96,7,0,0.48936170212765956,0.022399999999999996,0.022399999999999996
0.06,0.015,195,95,93,7,0,0.5053191489361702,0.022076923076923074,0.022076923076923074
0.06,0.02,195,96,92,7,0,0.5106382978723404,0.020102564102564103,0.020102564102564103
0.07,0.008,195,75,120,0,0,0.38461538461538464,0.022000000000000006,0.022000000000000006
0.07,0.01,195,78,117,0,0,0.4,0.022000000000000006,0.022000000000000006
0.07,0.012,195,80,115,0,0,0.41025641025641024,0.021641025641025644,0.021641025641025644
0.07,0.015,195,83,112,0,0,0.4256410256410256,0.021179487179487182,0.021179487179487182
0.07,0.02,195,84,111,0,0,0.4307692307692308,0.01876923076923077,0.01876923076923077
0.08,0.008,195,61,134,0,0,0.3128205128205128,0.019528205128205127,0.019528205128205127
0.08,0.01,195,64,131,0,0,0.3282051282051282,0.01953846153846154,0.01953846153846154
0.08,0.012,195,67,128,0,0,0.3435897435897436,0.01961025641025641,0.01961025641025641
0.08,0.015,195,70,125,0,0,0.358974358974359,0.019102564102564105,0.019102564102564105
0.08,0.02,195,72,123,0,0,0.36923076923076925,0.016923076923076923,0.016923076923076923
